业务板块,业务类型,序号,细分场景,内部处理办法及流程,对客话术,涉及反馈部门/微信群/工单模板,图片示例,,
充电业务,账号管理,2,充电小程序如何查看绑定的手机号？,微信搜索“解悠充电”小程序，进入小程序后，点击“我的”，点击“设置”，点击“账号管理”，点击“手机号管理”，可查询当前账号绑定的注册?机号。,您好，查看当前绑定的手机号，需要微信搜索“解悠充电”小程序，进入小程序后，点击“我的”→“设置”→“账号管理”→“手机号管理”，即可看到您账号绑定的注册手机号。,,,,
充电业务,账号管理,3,充电小程序如何绑定或查看已绑定的微信？//为什么客户的微信无法一键登录了？,"1.引导客户进入“我的”→“设置”→“账号管理”→“微信绑定管理”，可查看已绑定的微信信息。

2.如需绑定新微信：点击“绑定微信”，按微信授权提示完成即可。

3.若客户反馈原本可以用微信一键登录，现在突然不行了：

解释覆盖规则：同一个手机号注册的账号，如果被多个微信绑定，最后一次使用“微信一键登录”的微信会覆盖之前的绑定。之前的绑定人无法再通过微信一键登录。

解决方式：被覆盖的用户（原绑定人）请使用“手机号验证码”方式登录，登录后重新进入“微信绑定管理”绑定自己的微信即可恢复。","您好，您可以在“我的”→“设置”→“账号管理”→“微信绑定管理”中查看当前账号已绑定的微信，也可以在此处绑定新的微信。

如果您突然无法用微信一键登录，可能是因为同一个账号被其他微信最后一次使用了一键登录，导致您的微信被“覆盖”了。

解决方法：请您先用“手机号验证码”方式登录账号，然后进入“微信绑定管理”，重新绑定您自己的微信，之后就可以正常使用微信一键登录了。",,,,
充电业务,账号管理,4,充电小程序的登录名和密码如何设置/修改？,"1.引导客户进入“我的”→“设置”→“账号管理”→“登录名和密码设置”。

2.需要客户先用注册手机号验证身份（获取短信验证码）。

3.验证通过后：登录名默认为注册手机号，客户可自行修改（建议使用字母数字组合）。输入新密码并确认。

4.保存后覆盖原有登录名和密码，后续使用新的登录名和密码进行“账号密码登录”。","您好，设置或修改登录名和密码的路径为：“我的”→“设置”→“账号管理”→“登录名和密码设置”。

您先用注册手机号接收验证码，验证通过后，您就可以修改登录名（默认为手机号，您可以改成自己喜欢的账号名）和密码了。

修改保存后，下次登录时请使用新的登录名和密码点击“账号密码登录”。",,,,
充电业务,充电售后类,1,我的附近哪有电桩可以使用？,/,"您好，查找附近充电桩，您可以通过以下步骤轻松操作：
① 打开“解悠充电”小程序，授权获取您的位置
② 点击首页【附近充电站】，系统会自动按距离远近展示充电桩
③ 您可以用筛选功能，选择“即插即充”、“停车减免”、“空闲桩数”等，快速找到合适的场站
④ 想直观查看分布，可切换到地图模式，或直接搜索目的地查找周边充电站
⑤ 选定场站后，点击“导航”即可一键出发
如果操作中遇到问题，欢迎随时联系我们，祝您充电顺利！

",/,,,
充电业务,充电售后类,2,怎么找到支持“即插即充”的充电站？,/,您在“解悠充电”小程序首页进入“附近充电站-地图找桩”查看，站点会标注是否支持即插即用、是否有停车减免、各类型充电桩的空闲数量等信息，方便您筛选。,/,,,
充电业务,充电售后类,3,充电过程中，使用车内电器有什么影响吗？,/,"充电时开启空调、音响等电器，会因电流过大可能导致电器受损（特别是快充时）

消耗电量，延长充电时间。

【正确做法】
充电前关闭所有电源设备，再连接充电桩充电。",/,,,
充电业务,充电售后类,4,充电流程是怎样的？,/,"您好，解悠充电提供两种便捷的充电方式：

1.VIN码即插即充：在支持的合作充电桩（如星星、特来电等）上，插枪后自动识别您的车辆，直接开始充电，结束拔枪即可，系统自动扣款。

2.扫码充电：通过“解悠充电”小程序扫描充电桩上的二维码，确认信息后即可启动充电，同样支持结束后自动扣款。

您可以通过小程序查找附近站点，一键导航前往。充电费用将根据您的账户设置进行支付。

",/,,,
充电业务,充电售后类,5,什么是“VIN码即插即充”？怎么使用？,VIN码即插即充功能现已面向全产品用户开放。若客户已开通周结/月结产品，系统优先从周结/月结账户放款；若未开通，则按日结或其他产品类型正常计费。,"【功能介绍】
VIN码即插即充，是指在合作充电桩上，您只需插枪，系统就会自动识别您的车辆并开始充电，无需扫码，也无需操作手机。

【扣款规则】

如果您已开通周结或月结服务，系统会优先从您的账期额度中进行放款；如果您未开通账期服务，则会按您当前使用的产品类型正常计费。

【结束说明】

充电完成后，系统会自动扣款，真正做到“插枪即充，拔枪即走”，省心又便捷。

",/,,,
充电业务,充电售后类,6,车辆充电前需要先熄火吗？,/,"是的，为了安全起见，充电前务必先熄火。车辆熄火后，将充电枪连接车辆充电口，再启动充电。充电完毕后点击""停止充电""，再将充电枪拔出。",/,,,
充电业务,充电售后类,7,充电过程中可以拔枪吗？,/,"不可以。充电过程中拔枪或按急停按钮，会影响电池寿命、损坏车辆充电接口。

【正确做法】

通过“解悠充电”小程序点击“停止充电”后再拔枪

或等车辆充满自动停止后再拔枪。",/,,,
充电业务,充电售后类,8,如何选择快充慢充？,/,"快充（直流）：桩体较大像冰箱，枪线较粗，9孔枪头，充电1-2小时，适合纯电车快速补电

慢充（交流）：桩体较小像背包，枪线较细，7孔枪头，充电6-8小时，适合油电混合车正常补电

温馨提示：同一站点快慢充电价相同。如果不着急用车，建议优先选慢充，或快慢充交替使用，能更好保护电池、延长寿命。
",/,,,
充电业务,充电售后类,9,慢/快充的充电时间是多久？,/,"慢充：交流7kw，每小时最多充7度电

快充：直流桩功率不同，一般1-2小时左右

温馨提示：实际充电时间与您的车型也有关，取决于车辆需求功率。",/,,,
充电业务,充电售后类,10,我已经关闭解悠周结/月结充电服务，为什么还从我的ETC账户扣费？,关闭周结/月结充电服务后，客户侧若使用“解悠充电”小程序充电，会产生日结账单并从ETC账户进行划扣。,"您好，关闭周结/月结充电服务后，如果您仍通过“解悠充电”小程序正常使用充电服务，会产生日结充电账单，相关费用会从您的ETC账户进行划扣。

如需停止所有扣费，请确保不再使用该小程序进行充电操作。",/,,,
充电业务,充电售后类,11,怎么关闭解悠充电的即插即充？,/,"您好，请您按照以下流程操作关闭即插即充功能：

打开“解悠充电”小程序，点击右下角的 “我的”

在“我的”页面找到并点击“即插即充”

进入后，请点击“关闭”即可。
",/,,,
充电业务,充电售后类,12,为什么我关闭了解悠充电服务，但在星星充电/特来电小程序里无法使用“即插即充”功能了？,/,"您好，这是因为您之前通过“解悠充电”小程序授权了VIN码即插即充功能，该授权会覆盖您在星星充电/特来电等平台的即插即充设置。

您只需按以下步骤操作即可恢复：

打开“解悠充电”小程序，点击右下角的 “我的”

在“我的”页面找到并点击“即插即充”

进入后，请点击“关闭”即可。

关闭成功后，再打开“星星充电”或“特来电”小程序，重新授权VIN码即插即充功能即可正常使用。",/,,,
充电业务,充电售后类,13,为什么解悠充电无法使用“即插即充”功能？,/,"【初步判断类型】
请问您咨询的充电桩品牌是什么？

【处理方案】
您好，“即插即充”功能需要您手动开启并选择对应的充电运营商后才能正常使用。

请按以下步骤操作：
打开“解悠充电”小程序，点击右下角的 “我的”

在“我的”页面找到并点击“即插即充”

进入后，选择您需要使用的充电运营商（星星充电、特来电）并点击开启，即可正常使用该功能。",/,,,
充电业务,充电售后类,14,如何解绑充电车辆？,"1.探索客户解绑真实原因，做必要挽留（如：操作问题、额度问题、设备问题等可解决范围内提供方案）
2.客户坚持解绑，通过客服车辆管理功能操作解绑（权限待确认），进入解绑处理流程","【客户解绑充电车辆服务流程】

【确认解绑原因】
您好，请问您是出于什么原因考虑解绑车辆呢？我们可以帮您看看是否有其他解决方案。

【风险告知与最终确认（重要提示）】
您好，需要向您说明：车辆解绑后，该车辆将无法再使用本账户进行充电。如需重新绑定，需联系客服处理。请问确认需要解绑吗？

【受理申请并告知处理时效】
① 正常流程
您申请的充电车辆解绑服务已反馈至相关部门，最晚将于下一个工作日会为您关闭，请您耐心等待。
② 特殊情况（当天开通且未产生充电记录）
您申请的充电车辆解绑服务已反馈至相关部门，预计今日18:00前会为您关闭，请您耐心等待。


【处理超时跟进】（当首次处理超时未完成时）
非常抱歉为您带来了不便。我们已将您的充电车辆解绑申请再次加急反馈至相关部门，预计今日18:00前会为您解绑，请您耐心等待。","工单类型：充电业务→关闭充电→流转人（客服组长）
模板：姓名、联系方式、车牌号以及关闭充电的原因需要写明
",,,
充电业务,充电售后类,15,如何上调充电月卡的额度？（充电月卡额度调整仅对解悠ETC客户开放，纯充电客户暂未开放调额权限）,"1.前置步骤：客户申请提额
①客户提出将充电月额度提升至3000元。

②客服调取该客户 ETC逾期记录（含周卡逾期）。
逾期记录查询步骤：CRM系统→客户信息总览（根据关键信息查询）→用户查询“账务信息”→（查看）历史逾期总数。

2.判断客户逾期次数

2.1逾期次数≤4次，客服直接提额。
①客服在系统中将客户充电月额度调整为 3000元。
②告知客户额度已调整成功，即时生效。
③提醒客户按时还款，避免后续额度受限。
④调额操作步骤：解悠充电运营平台→金融客户管理→充电金融客户列表→调整额度（根据实际情况填写“调整后额度”与“调额原因”）

2.2逾期次数≥5次，转风险部处理（需先确认客户逾期欠款已全部结清）
①前提条件：客户名下所有逾期款项必须已全部结清。
②若未结清 → 直接告知客户先结清欠款，暂不受理提额申请。

3.处理步骤：

3.1客服告知转风险部

①创建CRM工单，将客户提额申请流转至风险部。

②告知客户：申请已转交风险部，将在1-3个工作日内联系。

3.2风险部复核

①风险部审核客户资质、逾期记录、还款情况等。

②联系客户，告知需配合事项：提供一个紧急联系人号码。（如车辆属于公司，需提供公司实际控股人号码。）

③核实无误后，为客户申请提额至3000元。

④告知客户后续逾期可能产生的影响。

3.3结果通知

①风险部直接电话通知客户审核结果。

②客服不做二次跟进。","【信息查询】
您好，请您提供一下办理人姓名、联系电话、车牌号帮您查询。

【根据查询结果处理】

场景1：客户申请提额，客服查询后逾期次数≤4次
您好，您的充电月额度提升申请已通过审核。现已将您的额度调整为 3000元，即时生效。后续请您注意按时还款，避免因逾期导致额度受限。如有其他问题，随时联系我们。

场景2：客户逾期 ≥ 5次，但欠款已结清（转风险部）
您好，您的提额申请已收到。由于您过往存在多次逾期记录（已结清），按规定需要由风险部门进行复核处理。我这边已为您将申请转交至相关部门，他们会在 1-3个工作日内 主动联系您，请您保持电话畅通。感谢您的理解与配合。

场景3：客户逾期 ≥5次，且仍有欠款未结清（不予受理）
您好，经查询您名下的ETC账户当前仍有逾期欠款未结清。根据规定，暂无法为您办理额度提升申请。请您先结清所有欠款，之后可重新申请提额。",,,,
充电业务,充电售后类,16,为什么我注册后不能直接使用500元的日结额度？,"说明：(新用户首充后日结额度规则)
1.仅限日结新用户首笔订单。
2.首充完成后额度自动生效。",您好，新用户的首笔充电订单需要先完成首充支付，系统才会为您开放1个车、500元/日的额度。这是为了验证账户有效性，后续使用不受影响。,/,,,
充电业务,充电售后类,17,什么是双枪充电？,/,您好，双枪充电是指一台新能源车辆同时连接两把充电枪进行充电的方式。需要说明的是，双枪充电属于充电桩设备本身的功能支持，并非所有充电桩都具备该能力。具体是否支持双枪充电，取决于您所使用的充电桩品牌和型号。后期您在使用前也可以查看一下充电桩的设备说明。,,,,
充电业务,充电售后类,18,我刚办了解悠ETC，为什么不能马上申请充电？,/,您好，新办理解悠业务后，系统需要10分钟的数据同步时间。请您稍等10分钟后再尝试申办充电业务，感谢您的理解。,/,,,
"运
证
通
","新
办
与
账
户
开
通
类",1,登陆运证通APP时，收不到短信验证码,/,"您好，若无法收到验证码，请按以下步骤检查：

1.确认手机信号正常，并关闭短信拦截功能。

2.核对手机号是否与注册时预留号码一致，60秒内请勿重复点击“获取验证码”。

3.如仍无法接收，请联系客服或前往线下运政窗口核对信息。",/,,,
"运
证
通","新
办
与
账
户
开
通
类",2,登陆运证通APP时，忘记密码/账号被锁定,/,"【忘记密码】
您好，请点击登录页“忘记密码”，通过绑定的手机号或身份证号重置密码。

【账号锁定】
若账号被锁定，建议联系交通运输服务热线 12328 ，进行处理。
",/,,,
"运
证
通","新
办
与
账
户
开
通
类",1,ETC是运证通的还是解悠的产品？,/,您好！运证通平台上的ETC服务由我司（解悠）提供。运证通是合作入口，您的ETC账户、设备及售后均由我们直接负责。,/,,,
"运
证
通","新
办
与
账
户
开
通
类",2,通过运证通办理和通过你们官方App/公众号办理有区别吗？,/,您好，在设备、折扣、售后服务等方面完全一致。唯一区别是办理入口不同，通过运证通办理可能享受双方平台的专属活动或便捷服务。,/,,,
"运
证
通","新
办
与
账
户
开
通
类",1,如何在运证通上找到ETC办理入口？,/,"您好，在“运证通”App上办理ETC非常便捷，您只需跟着以下三步操作即可：

第一步：打开App，找到办理入口

请确保您已打开最新版的 “运证通”App，并进入首页。

在首页，找到并点击 【ETC申领】 入口按钮

第二步：进入平台，开始办理

点击后，系统会自动跳转至 “运证通ETC服务平台” 专属页面。

在该页面中，请直接点击右下角的 【点击办理】按钮。

第三步：填写信息，完成申请
随后，页面将引导您进入正式的申办流程，请您按照提示逐步填写信息、上传所需材料即可完成申请。

温馨提示：若您想提前了解全程，可在“运证通ETC服务平台”观看操作视频，如果在查找入口或办理过程中的任何环节遇到问题，您随时可以致电我们的客服热线：021-6151-6652，我们将在线为您解答。",/,,,
"运
证
通","新
办
与
账
户
开
通
类",2,办理ETC需要费用吗？设备是免费的吗？,/,您好，目前通过运证通办理，ETC设备免费赠送，无设备费或安装费。办理过程中无任何隐藏费用，请以页面公示规则为准。,/,,,
"运
证
通","新
办
与
账
户
开
通
类",3,办理需要准备哪些材料？,/,"您好，请提前准备以下材料：

1.车主本人身份证

2.车辆行驶证

3.车主本人储蓄卡（支持十多家银行）

4.车辆45°车身照片（需清晰展示车头与车轴）
请确保信息准确、照片清晰。",/,,,
"运
证
通","新
办
与
账
户
开
通
类",4,提交申请后，多久能审核通过？ETC设备多久能寄到？,/,您好，您的订单将在当天18:00前审核（非节假日）。审核通过后，ETC设备将在您好，您的订单将在当天18:00前审核。审核通过后，ETC设备将在 1-2天 内通过顺丰寄出，您可在办理进度页查看快递单号。,/,,,
"运
证
通","新
办
与
账
户
开
通
类",5,运证通App办理时，提示“办理人不一致，请上传办理人身份信息确保上传清晰无反光的照片”,/,"您好，出现这个提示通常是因为您上传的身份证信息与填写的内容不一致，或照片不够清晰导致系统无法识别。请按以下步骤操作：

第一步【核对填写信息与身份证是否一致】

请您返回上一步页面，仔细核对：

1.姓名：是否与身份证上的姓名完全一致。（包括生僻字、多音字）

2.身份证号码：是否18位全部正确，无任何数字或字母误差。

3.身份证有效期：是否在有效期内。

温馨提示：请直接手持身份证对照填写，避免凭记忆输入。

第二步【重新拍摄并上传身份证照片】

若信息核对无误，问题通常出在照片质量上，导致识别有误。请您使用手机原相机拍照进行上传。

完成照片更新后，返回办理页面重新提交即可。",/,,,
"运
证
通","新
办
与
账
户
开
通
类",6,运证通App办理时，提示“【该车牌已被占用，可联系客服热线 021 6151 6652 咨询】、订单已创建，可联系客服热线 021 6151 6652 咨询】”,"1、客服通过“ETC通行宝”小程序→资格查询→填写对应的车牌号、颜色进行查询占用情况。
1.1若为其它发行方占用，则引导客户联系高速热线95022解占；
1.2若无占用或解悠占用，则在订单管理取消订单。","一、【非解悠占用处理】

您好，我们核实到您的车牌（车牌号）已于（XX年XX月）办理了（XX发行方）的ETC业务。请您先拨打全国高速ETC服务热线 95022 办理注销，完成后即可重新申办解悠ETC。

二、【针对需取消订单重新办理的情况】

您好，您遇到的报错需要为您取消当前订单并重新办理。

我们现在为您操作，过程中需要您接收短信验证码。请问您现在方便接收吗？",/,,,
"运
证
通","新
办
与
账
户
开
通
类",7,运证通App办理时，提示“车牌号不一致，请返回上一步进行修改”,/,"您好，这个提示通常表示系统识别到的车牌信息与您填写的内容不一致。请您不要着急，按照以下步骤逐步操作即可解决：

第一步【立即核对填写信息】

请返回上一步，仔细检查您填写的：

1.车牌号码：是否与行驶证上的 完全一致。（注意区分数字 0 与字母 O，以及字母大小写）

2.车牌颜色：是否选对。（例如,蓝牌、黄牌、绿牌等）

核对无误后，可尝试点击“下一步”重新提交。

第二步【若信息正确仍报错 → 重新拍摄车辆照片】

如果信息核对正确仍出现提示，通常是上传的车辆照片不够清晰，导致系统识别有误。请您：

1.使用手机原相机（不要使用微信、扫码等内置相机）。

2.在光线充足的环境下，对准车牌正面拍摄。

3.确保车牌完整、清晰、无反光、无遮挡。

4.拍摄后点击“上传照片”重新提交。",/,,,
"运
证
通","新
办
与
账
户
开
通
类",1, 收到ETC设备后，如何激活安装？,/,"您好，请按以下步骤操作：

1.拔插ETC卡片，如只亮绿灯且显示“记账卡”，则表示设备正常。

2.撕开背胶，将设备粘贴在前挡风玻璃上即可使用。

3.如显示红灯或“标签已失效”，请按手册说明进行二次激活。
随设备附有操作手册，您也可以参考。",/,,,
"运
证
通","新
办
与
账
户
开
通
类",1,我的ETC出现问题了（无法通行、扣费异常等），该找谁？是找运证通还是找你们？,/,您好，所有ETC使用问题（如无法通行、扣费异常等）均可直接联系我司客服，我们将为您快速处理。,/,,,
"运
证
通","新
办
与
账
户
开
通
类",,我在运证通平台上对ETC服务有投诉/建议，你们能处理吗？,,"当然可以处理。我们重视每一位客户的反馈：

1.业务反馈（如发货、客服、设备问题）：请直接联系我们，我们将第一时间介入解决。

2.运证通平台体验建议（如页面流程）：可向我们反馈，我们会定期与运证通沟通优化；您也可在运证通App内直接反馈。

我们的承诺是：无论您从何处反映，我们都将负责到底，确保问题闭环处理。

",/,,,
"运
证
通",解悠管家,1,“解悠管家”开通信息验证查询服务,/,"您好，为确保您的信息安全和权益，您可以通过官方渠道核实工作人员身份。
验证路径：请微信搜索并关注 “解悠数字科技” 官方公众号，进入后点击 【更多服务】 → 【管家查询】。
支持以下三种方式验证：
工号查询
手机号查询
微信号查询
您可任选其一，核实普惠/衍生业务管家的员工信息、外呼电话及微信号的真实性。",/,"=DISPIMG(""ID_7A05FE91FA4348F7BF08F093CBF76ABF"",1)",,
"运
证
通",解悠管家,2,客户进线核实电销团队的工作人员工号,"电销团队工号如下：
8801、8802、8803、8804、8805、8806、8807、8808、8809、8810、8811、8812、8813、8814、8815
注：禁止告知客户营销人员姓名，只核对工号。",您好，关于您对工号[工号]的核实，我司已确认：该员工为我司注册在岗的电销专员，请您放心。,/,,,
"运
证
通",保险分期,1,保险分期如何申请办理,由保险分期专人致电客户。,"您好，申请车险分期服务，请您按以下路径操作：

微信搜索并登录 “解悠货车服务” 小程序。

在首页找到并点击 【其他服务】（或类似入口）。

选择 【车险分期】 ，填写您的联系方式并提交。

提交成功后，我们会有专员在近期主动联系您，请您耐心等待。",/,,,
"运
证
通",工号核验,,客户进线核实xxx是否是解悠的工作人员时,请通过【云客服知识库-客服部、衍生部关于员工工号编制说明及明细】附件核实后再对客解答。,您好，经核实您提供的工号是我司工作人员。,/,,,
其它,点对点短信类,1,点对点短信操作步骤（客服）,"9901划扣后台→客户列表→操作→发送短信→短信模板（选择通知类）→短信模板（选择需要发送的短信模板）→点击提交→操作（短信发送记录），查询发送成功与否，及客户接收成功与否。
注：短信接收手机号可以更改。",/,/,,,
其它,点对点短信类,2,解悠二次激活视频模板,二次激活视频：https://huoche.jieyoucloud.com/u/A00e6,"您好，二次激活视频已通过短信发送至您的手机。

请您直接点击短信中的链接，并严格参照视频内的步骤进行操作。

待您激活成功后，ETC设备即可恢复正常使用。",/,,,
其它,点对点短信类,3,解悠二次激活文字模板,微信搜索“解悠货车服务”小程序→登录→二次激活→输入车辆信息→点击查询→获取验证码，点击激活→打开手机蓝牙，固定好 etc 设备并打开设备蓝牙（快速插拔卡两次，设备显示蓝牙打开）→点击激活按钮，进度条显示激活成功即可。,"您好，我们已通过短信将二次激活指引发送给您。

请您优先查看短信中的视频链接并参照操作。激活成功后，您的ETC将立即恢复正常使用。

【若客户反馈链接打不开，再发送文字模板】",/,,,
其它,点对点短信类,4,设备检测模板,设备检测：微信搜索“中国ETC服务”小程序 - 登录-ETC服务 -（手机蓝牙，设备蓝牙打开：快速插拔卡两次设备蓝牙打开）设备检测，请您操作完毕后将检测截图发至解悠在线客服为您进行排查。,"您好，设备检测的操作指引已通过短信发送给您。

请您按照短信内容完成设备检测，并将最终的检测结果截图发送给在线客服，以便我们为您进行精准排查。",/,,,
其它,点对点短信类,5,修改车型车轴激活模板,修改车型激活流程：请您将设备贴在车上固定好，然后微信搜索‘中国ETC服务’小程序-ETC服务-设备激活，点击连接设备，再点击激活设备，将手机蓝牙跟设备蓝牙都打开（设备蓝牙打开方式：快速插拔两次卡片设备会蓝牙打开）激活成功。,"您好，您的车辆信息已完成修改。由于此项修改触发了系统安全校验，您的ETC目前已进入黑名单。请您稍后根据短信指引完成二次激活。
重要提示：激活成功后，系统需要 4至24小时 进行状态同步，之后才能完全恢复使用，请您耐心等待。",/,,,
其它,点对点短信类,6,解悠更换设备模板,首先把设备贴在车上固定好，然后用办理人本人微信搜索“中国ETC服务”小程序→ETC服务→更换/维修设备→将手机蓝牙跟设备蓝牙都打开（设备蓝牙打开方式：快速插拔两次卡片设备会蓝牙打开）点击连接设备后，再点击操作设备，激活成功即可。,"您好，设备更换与激活的详细流程已通过短信发送给您。

请您仔细阅读并严格按照短信内容进行操作，待新设备激活成功后，即可恢复正常使用。",/,,,
其它,点对点短信类,7,日结逾期还款模板,"逾期主动还款：请您点击链接 https://jieurl.cn/u/541P，支付逾期-操作还款。
1.操作流程：9901划扣后台→客户列表→操作→发送短信→短信模板（选择营销类）→短信模板。","【ETC逾期还款处理指引】

【逾期未拉黑（账户仍可通行）】
您好，我们已向您发送主动还款指引短信。请您点击短信中的链接，按提示完成还款操作。当前您的ETC仍可正常使用，为避免账户被限制，请及时处理。

【逾期已拉黑（账户已被限制）】
您好，我们已向您发送主动还款指引短信。请您点击短信中的链接尽快完成还款。还款成功后，系统需要 4-24小时 同步数据并解除限制，请您耐心等待。",/,,,
其它,点对点短信类,8,周结逾期还款模板,"逾期主动还款：请您点击链接  https://jieurl.cn/u/3o7w ，进行还款。
1.操作流程：9901划扣后台→客户列表→操作→发送短信→短信模板（选择营销类）→短信模板。",,/,,,
其它,点对点短信类,9,跳转在线客服模板,在线客服：https://jieurl.cn/u/ACA84,"您好，在线客服的直达链接已通过短信发送给您。

请您直接点击该链接后，点击“人工客服”扫码，即可联系在线客服。",/,,,
其它,点对点短信类,10,更换银行卡模板,更换银行卡模板,"您好，更换银行卡的详细操作流程已通过短信发送给您。

请您稍后仔细阅读短信内容，并按照指引完成新卡的绑定操作即可。",/,,,
其它,点对点短信类,11,外呼受限/通话中断,"您好!很抱歉此前通话中断。如需继续处理，请点击此链接https://jieurl.cn/u/ACA84进入后点""人工客服"" 联系解悠在线客服，我们将继续为您受理。",/,/,,,
其它,点对点短信类,12,线上自主申请设备模板,请点击链接观看自主申请设备：https://jieurl.cn/u/04147,,/,,,
其它,点对点短信类,13,线上自主新办激活模板,请点击链接观看设备激活流程：https://jieurl.cn/u/03A3A,,/,,,
其它,点对点短信类,14,解悠ETC产品介绍图模板,"https://huoche.jieyoucloud.com/u/65F23，请您点击链接，查看解悠产品介绍图
1.操作流程：9901划扣后台→客户列表→操作→发送短信→短信模板（选择营销类）→短信模板。
",,/,,,
其它,点对点短信类,15,速通注销单模板,"共计发送两条短信（操作注销流程 、在线客服链接）
1.速通注销操作：点击注销申请链接https://jieurl.cn/u/Ec8c6，打印并填写，同时将ETC卡片剪断，与注销单一并拍照，发至解悠在线客服登记。预计3-4个工作日注销完成后，将以短信方式通知到您。
1.1操作流程：9901划扣后台→客户列表→操作→发送短信→短信模板（选择营销类）→短信模板。
2.在线客服：https://huoche.jieyoucloud.com/u/6a54e",,/,,,
其它,点对点短信类,16,跳转充电小程序模板,"【解悠数字科技】解悠充电小程序:https://jieurl.cn/u/A60Fd
1.操作流程：9901划扣后台→客户列表→操作→发送短信→短信模板（选择营销类）→充电短信模板。",,/,,,
其它,点对点短信类,17,电信手机号，短信接收失败的操作流程,"电信手机号码，带链接的可能发送不出去，需自行修改抬头，【解悠数字科技】修改为【解悠ETC】再次发送。
操作：短信分类（点击“个性短信”）→签名（选择“解悠ETC”）→短信内容（输入1到5的标准模板）→点击“提交”。",,/,,,
其它,在线客服留痕,1,在线进线咨询，针对只发图不发车牌号的客户/代理,受理客服可点击图片→提取文字，复制车牌信息并留痕至当前会话聊天记录中。,"【查询确认版】

您好，车牌号[XXX]已收到。我们正在为您查询中，请您稍等片刻。



【登记确认版】

您好，车牌号[XXX]已成功登记。后续进展我们会及时与您同步。",/,,,
已过期知识点,在线客服留痕,1,报错提示“前往货车新办模块开户”,"删除车牌→用现在办理的号码去解悠小程序重新实名：解悠小程序→我的→实名认证→取消实名→首页→货车新办实名
（如果还是无法操作下一步就查询路网开户信息核实是否一致）",/,/,,,
已过期知识点,在线客服留痕,2,签约银行卡是提示“签约失败，不存在用户与渠道的签约关系”,将车牌号、操作界面截图发送至9901技术解决,/,/,,,
已过期知识点,在线客服留痕,3,新办审核提示“行驶证校验失败”等,"行驶证拿出来拍 正反面单独拍：要求无反光无背景；
注：个户行驶证，类型选择个人；公户选个公司挂靠",/,/,,,
已过期知识点,在线客服留痕,4,后台取消订单提示swrwer error,"解悠小程序—我的—实名认证—取消实名—首页—货车新办实名；
还是不行就查询路网开户信息核实手机号信息是否一致，之后中国ETC要与解悠实名信息一致方可发送验证码。
",/,/,,,
已过期知识点,在线客服留痕,5,申办时提示“token校验失败”,解悠小程序删除后重新搜索登录，进入货车新办重新创建订单尝试,/,/,,,
已过期知识点,在线客服留痕,6,签约银行卡填写验证码提示：验证码错误,"1.车牌.手机号等发给客服组长查询路网开户信息并核对手机号是否一致
2.不一致：①取消解悠的实名更换为路网的手机号；
②更换为路网手机号步骤为：微信搜索中国ETC小程序：首页左上角点请登录→> 微信授权登录 →>添加新号码 →>实名认证。",/,/,,,
已过期知识点,在线客服留痕,7,一人多车签约（大于10台），当日只能收10次左右验证码，如何解决,"1.同一个验证码在5分钟内不限签约次数；
2.所有需办理的车辆先上传行驶证信息并且校验通过；
3.当前验证码失效时，再获取下一次验证码。
注：先扫码激活一辆车牌，再次扫码添加剩余需要办理的所有车牌一起提交。",/,/,,,
已过期知识点,在线客服留痕,8,设备预检之后签约无法进行下一步：是之前弹窗“前往货车新办开户”.“等待10秒重试”的问题，移步到签约这一步,"先核实路网实名信息是否一致
1.实名不一致，请让客户去中国ETC小程序用办理手机号重新实名进行操作；
2.实名一致，请客户发送操作界面截图及车牌号反馈于9901技术群。",/,/,,,
已过期知识点,在线客服留痕,9,办理时提示修改用户信息失败,用现在办理的号码去中国ETC服务小程序里登录重新实名,/,"=DISPIMG(""ID_85414587A9D24757BAF45312EBB37DDC"",1)",,,
已过期知识点,在线客服留痕,10,身份证信息和平台实名认证信息不一致,"解悠小程序—我的—实名认证—取消实名—首页—货车新办实名
",/,/,,,
已过期知识点,在线客服留痕,11,签约银行卡，获取验证码时提示：发送失败,"1.发送频繁，5分钟后尝试；
2.如发送过于频繁（10次左右），需要次日再操作签约；
3.如发送1次就提示该报错，用现在办理的号码去中国ETC服务小程序里登录重新实名，操作完成后再操作签约尝试；
4.如果还是不行，需要问客户要办理信息去周主管那里查询开户信息。",/,/,,,
已过期知识点,在线客服留痕,12,签约银行卡时提示报错：签约失败,"1.需使用银行卡预留手机号签约；
2.用现在办理的号码去中国ETC服务小程序里登录重新实名；
注：手机号需要和解悠小程序一致；
如以上均无法解决，则与路网确认核实原因",/,/,,,
已过期知识点,在线客服留痕,13,验证码正确，关联微信支付，签约时发起签约失败，请重新尝试,客户之前进行过解绑，需客户微信搜索微信车主服务，删除该车牌号,/,/,,,
